Model                     T     L         Md        Rout      silicates  gs
outputs_000/output_0310   8422  7.45e+41  2.34e-04  1.80e+16  1          2.8598e-01
outputs_000/output_0311  10572  4.16e+41  2.47e-02  9.06e+16  0          1.1040e-01
outputs_000/output_0312   5592  7.02e+41  1.48e-03  1.23e+17  1          4.4895e-02
outputs_000/output_0313   4968  1.52e+41  2.09e-04  1.46e+17  1          1.2994e-01
outputs_000/output_0314   6195  6.89e+41  1.56e-04  3.34e+16  0          7.6348e-01
outputs_000/output_0315   9166  3.77e+40  2.38e-02  1.99e+17  1          2.6958e-01
outputs_000/output_0316   4362  7.40e+41  1.11e-03  1.37e+17  1          1.6643e-01
outputs_000/output_0317   5325  4.88e+41  5.55e-03  7.77e+16  1          6.5361e-03
outputs_000/output_0318   9398  6.27e+41  4.77e-03  1.93e+16  0.5        1.0152e+00
outputs_000/output_0319   5490  5.53e+40  1.76e-02  1.76e+17  0          7.4880e-03
outputs_000/output_0320  13776  3.09e+41  1.34e-02  7.58e+16  1          1.7516e-02
outputs_000/output_0321   9094  1.37e+41  2.22e-05  1.70e+17  0.5        7.8610e-03
outputs_000/output_0322   4961  7.15e+41  2.44e-04  5.54e+16  0          1.8448e+00
outputs_000/output_0323  13332  6.78e+41  7.91e-04  1.23e+17  1          5.7588e-02
outputs_000/output_0324   4197  8.19e+41  6.55e-02  1.73e+17  0          2.7786e+00
outputs_000/output_0325  13783  8.98e+41  6.93e-02  3.74e+16  0.5        5.6992e-02
outputs_000/output_0326  12278  2.31e+41  4.44e-03  5.38e+16  0          5.7245e-03
outputs_000/output_0327   8081  8.45e+40  6.67e-04  1.90e+17  0.5        2.0726e-01
outputs_000/output_0328   7626  7.13e+41  2.71e-03  1.20e+17  1          9.3293e-02
outputs_000/output_0329   7162  5.19e+41  6.12e-05  1.13e+17  1          4.6969e-02
outputs_000/output_0330  10340  9.17e+41  1.76e-05  3.48e+16  1          7.3004e-01
outputs_000/output_0331   4003  4.24e+41  1.92e-03  1.19e+17  1          1.0389e-02
outputs_000/output_0332   9994  3.75e+41  1.43e-03  4.44e+16  0          1.8467e+00
outputs_000/output_0333   7925  2.38e+41  2.28e-05  8.39e+16  0          3.7970e-01
outputs_000/output_0334   6153  2.84e+41  1.45e-04  1.43e+17  0          2.2560e+00
outputs_000/output_0335  12340  6.30e+41  1.28e-02  1.46e+17  1          2.0592e-02
outputs_000/output_0336   7312  9.00e+41  2.34e-04  1.41e+17  1          1.2951e+00
outputs_000/output_0337   6776  2.99e+41  7.02e-03  5.95e+16  0          4.5042e+00
outputs_000/output_0338   9426  8.09e+41  2.10e-03  1.36e+17  0          1.8518e+00
outputs_000/output_0339  11862  5.45e+41  1.94e-05  3.29e+16  0          1.6803e-01
outputs_000/output_0340   8059  9.52e+41  6.03e-05  1.22e+17  1          7.9033e-03
outputs_000/output_0341  13227  8.60e+41  1.94e-04  1.11e+17  0.5        2.1846e-02
outputs_000/output_0342   5891  2.61e+41  3.99e-02  5.67e+16  0          2.1550e-01
outputs_000/output_0343  12984  5.61e+41  4.14e-04  7.22e+16  1          6.8369e-03
outputs_000/output_0344   4483  9.65e+41  2.36e-02  4.93e+16  0          4.9422e+00
outputs_000/output_0345   6785  5.46e+41  1.59e-04  1.47e+17  0          3.6373e-02
outputs_000/output_0346   4859  9.61e+41  3.53e-04  3.86e+16  0.5        1.4632e-01
outputs_000/output_0347  10386  5.06e+41  1.64e-02  1.89e+17  1          4.8046e-01
outputs_000/output_0348  13129  7.12e+41  1.46e-04  1.53e+17  1          3.7367e-01
outputs_000/output_0349   6272  5.82e+41  6.85e-05  3.98e+16  1          1.1517e+00
outputs_000/output_0350   7074  7.08e+41  1.17e-03  6.12e+16  0.5        4.9386e+00
outputs_000/output_0351   8785  8.58e+41  1.83e-02  2.16e+16  1          4.7242e-02
outputs_000/output_0352  11520  5.94e+41  6.83e-04  1.78e+17  0.5        1.4971e-01
outputs_000/output_0353  13095  7.08e+41  1.49e-02  1.66e+17  0          1.1947e-01
outputs_000/output_0354  10396  3.00e+41  2.04e-04  1.42e+17  0.5        4.7862e-01
outputs_000/output_0355  13316  9.95e+41  1.48e-04  1.51e+17  0.5        2.8279e-01
outputs_000/output_0357  11697  1.55e+41  2.04e-04  1.25e+17  1          1.0072e-02
outputs_000/output_0358  11665  5.68e+41  7.33e-04  5.83e+16  0          2.8492e-01
outputs_000/output_0359  11104  9.53e+41  9.85e-02  1.04e+17  0.5        3.0114e-01
outputs_000/output_0360   5758  9.93e+41  5.20e-02  1.20e+17  0.5        2.1420e-02
outputs_000/output_0363   4913  6.70e+41  1.33e-03  1.66e+17  1          6.0224e-01
outputs_000/output_0364  10092  4.42e+41  1.96e-02  7.49e+16  0          1.1602e-02
outputs_000/output_0365  12722  3.19e+41  4.92e-03  1.45e+17  0          3.8238e+00
outputs_000/output_0366   9037  1.38e+41  1.45e-05  1.50e+17  1          4.4545e+00
outputs_000/output_0367  12662  9.80e+40  5.28e-04  1.28e+17  0          2.1540e+00
outputs_000/output_0368   7320  7.13e+41  4.51e-02  1.53e+17  1          5.1347e-02
outputs_000/output_0369   5985  9.45e+41  1.72e-05  8.46e+16  0          1.1362e-01
outputs_000/output_0370  11902  5.37e+40  5.45e-03  1.44e+17  0.5        2.2821e+00
outputs_000/output_0371   8264  5.82e+40  2.32e-04  8.25e+16  1          6.4079e-03
outputs_000/output_0372  13990  7.95e+41  1.02e-03  1.94e+17  0          1.3365e+00
outputs_000/output_0373  10492  7.96e+41  3.32e-04  1.71e+17  1          6.8482e-02
outputs_000/output_0374   6501  4.90e+41  2.78e-02  1.03e+17  0          9.6297e-02
outputs_000/output_0375  11477  2.13e+41  7.34e-04  1.02e+17  1          6.6892e-02
outputs_000/output_0376   6364  5.75e+41  2.48e-05  8.80e+16  1          4.0967e+00
outputs_000/output_0377  13765  1.10e+41  1.96e-03  1.72e+17  0          8.0993e-01
outputs_000/output_0378  11435  2.03e+41  5.23e-02  8.99e+16  1          1.7450e-01
outputs_000/output_0379   6237  3.16e+41  4.06e-04  2.19e+16  0          2.2419e-01
outputs_000/output_0381  13062  2.08e+40  2.86e-05  6.59e+16  0.5        8.9979e-01
outputs_000/output_0382   8731  6.19e+41  2.83e-04  1.07e+17  0          9.7703e-03
outputs_000/output_0383   4748  2.98e+41  5.34e-04  8.47e+16  0.5        2.9268e+00
outputs_000/output_0384   4873  6.96e+41  3.03e-02  1.25e+17  0          1.8751e-02
outputs_000/output_0386   8144  8.44e+41  4.46e-03  1.21e+17  0          1.3587e-02
outputs_000/output_0387   8593  2.36e+41  7.09e-04  1.85e+17  1          4.4528e+00
outputs_000/output_0388   8679  4.27e+41  4.72e-02  1.80e+17  1          4.2229e-02
outputs_000/output_0389   9574  9.65e+41  1.89e-05  6.42e+16  0          2.0377e+00
outputs_000/output_0390   9683  3.51e+41  9.09e-04  2.90e+16  1          2.3173e-02
outputs_000/output_0391   6445  3.22e+40  7.27e-03  1.77e+17  0.5        1.2751e+00
outputs_000/output_0392   7563  9.37e+41  1.23e-05  1.26e+17  0.5        3.2976e-02
outputs_000/output_0393  12001  6.25e+41  7.10e-04  8.43e+16  0.5        2.7142e+00
outputs_000/output_0394  10388  1.07e+41  3.29e-02  9.26e+16  0.5        4.6798e+00
outputs_000/output_0395   5933  4.62e+41  3.02e-03  3.35e+16  1          4.5077e-02
outputs_000/output_0396   8017  3.69e+41  6.65e-02  6.13e+16  0.5        2.4669e-02
outputs_000/output_0397  13757  5.22e+41  1.76e-03  1.59e+17  0          6.9382e-03
outputs_000/output_0398   8579  1.31e+41  9.60e-04  1.38e+17  1          1.8368e+00
outputs_000/output_0399  10818  1.13e+41  6.63e-02  1.43e+17  0          6.9434e-03
outputs_000/output_0401  13762  5.31e+41  2.64e-05  1.38e+17  0          6.1759e-01
outputs_000/output_0402   8043  1.67e+41  1.26e-05  9.17e+16  0.5        3.7190e+00
outputs_000/output_0403   9734  6.64e+40  2.57e-02  5.36e+16  0          3.7926e-02
outputs_000/output_0404  13744  4.20e+41  4.32e-02  2.54e+16  1          2.5401e-02
outputs_000/output_0405   8831  8.44e+41  1.09e-04  7.84e+16  1          2.6679e-01
outputs_000/output_0406   7273  1.09e+41  4.05e-05  8.04e+16  0.5        2.4335e+00
outputs_000/output_0407   9839  4.45e+41  3.93e-04  1.44e+17  0.5        9.7357e-02
outputs_000/output_0408   5457  5.56e+41  4.20e-05  1.11e+17  0.5        6.4394e-01
outputs_000/output_0409   8039  1.29e+41  3.11e-02  8.84e+16  0          3.7686e+00
outputs_000/output_0410   9360  5.93e+41  8.43e-02  1.42e+17  0          1.9037e+00
outputs_000/output_0411  13860  5.70e+41  6.62e-03  9.66e+16  1          1.9746e+00
outputs_000/output_0412  10982  9.39e+41  4.84e-05  1.68e+17  0          1.1294e-01
outputs_000/output_0413  10129  7.39e+41  3.59e-05  1.47e+17  0.5        1.9646e+00
outputs_000/output_0414   9529  8.56e+41  2.41e-02  7.05e+16  1          4.8083e-01
outputs_000/output_0415   9570  2.51e+41  8.50e-03  1.38e+17  0.5        2.8223e-02
outputs_000/output_0416  10846  4.69e+41  3.26e-02  1.81e+17  0.5        5.6607e-03
outputs_000/output_0417  11997  3.92e+41  9.59e-05  5.16e+16  1          3.1400e-02
outputs_000/output_0418   6755  7.78e+41  8.42e-03  9.72e+16  0.5        6.3717e-03
outputs_000/output_0419   4873  5.78e+41  1.93e-02  8.68e+16  0.5        1.6698e-01
outputs_000/output_0420   8523  8.73e+41  1.27e-03  1.11e+17  0          1.9516e-01
outputs_000/output_0421  10954  2.55e+41  1.37e-04  1.95e+17  0          6.7720e-01
outputs_000/output_0422  13252  8.04e+41  4.35e-03  1.77e+17  1          9.8178e-02
outputs_000/output_0423  12649  5.60e+41  6.60e-02  1.84e+17  0          2.2548e+00
outputs_000/output_0424  13393  5.49e+41  5.12e-04  1.47e+16  0          3.8284e+00
outputs_000/output_0425  12823  5.16e+41  1.28e-03  3.85e+16  0.5        2.8494e-02
outputs_000/output_0426   7634  8.83e+41  1.40e-02  1.46e+17  0.5        5.8357e-02
outputs_000/output_0427  10114  4.70e+40  4.62e-02  3.20e+16  0          1.9656e-02
outputs_000/output_0428  13039  5.50e+41  1.45e-04  1.25e+17  1          1.5347e-01
outputs_000/output_0429  12688  3.11e+41  6.03e-04  2.43e+16  1          3.9818e-02
outputs_000/output_0430   5212  1.70e+41  1.22e-03  6.63e+16  1          1.0022e-02
outputs_000/output_0431   8750  9.16e+41  1.58e-02  3.52e+16  0          8.7652e-03
outputs_000/output_0432  10773  5.13e+41  3.50e-05  7.08e+16  0.5        4.0762e+00
outputs_000/output_0433   8755  5.75e+41  7.88e-03  1.24e+17  0.5        1.9702e-02
outputs_000/output_0434   8569  3.20e+41  4.08e-05  1.07e+17  1          1.7945e-01
outputs_000/output_0435  13352  3.83e+41  1.77e-04  1.76e+17  0          1.1982e-02
outputs_000/output_0436  12977  3.04e+41  6.50e-03  1.26e+17  0.5        3.1624e-02
outputs_000/output_0437   9191  3.83e+41  5.99e-05  8.20e+16  0          3.5889e-02
outputs_000/output_0438   6025  9.55e+40  1.09e-02  1.88e+17  0          7.8747e-01
outputs_000/output_0439  10967  1.59e+41  2.01e-03  1.64e+17  0          7.2783e-01
outputs_000/output_0440  11247  5.15e+41  2.66e-05  1.53e+17  1          1.7154e-01
outputs_000/output_0441   7912  1.99e+41  1.31e-02  1.22e+17  1          9.0587e-03
outputs_000/output_0442   8536  6.97e+41  7.49e-04  1.14e+17  0.5        3.7148e-02
outputs_000/output_0443   6416  9.79e+41  3.28e-03  2.69e+16  0          4.0569e-01
outputs_000/output_0444  13772  6.16e+41  7.27e-03  9.24e+16  0          7.9422e-03
outputs_000/output_0445   9626  3.31e+41  1.42e-03  1.08e+17  0.5        7.6110e-03
outputs_000/output_0446   4963  7.32e+41  1.18e-04  5.12e+16  0.5        8.1255e-02
outputs_000/output_0447   5242  1.17e+41  1.75e-02  1.00e+17  0.5        4.8622e-01
outputs_000/output_0448  11482  7.14e+41  1.43e-04  9.90e+16  0          1.1987e-02
outputs_000/output_0449  10442  7.46e+41  3.28e-05  1.44e+16  0          6.9003e-03
outputs_000/output_0450   4767  8.01e+41  2.60e-05  8.49e+16  1          9.9036e-01
outputs_000/output_0451   8437  6.14e+40  4.31e-04  1.05e+17  1          2.1632e-02
outputs_000/output_0452   7251  7.03e+41  2.61e-02  1.25e+17  0.5        1.9043e-02
outputs_000/output_0454   4218  6.96e+41  9.53e-02  1.63e+17  1          3.4798e-01
outputs_000/output_0455  12285  1.28e+41  6.97e-03  3.47e+16  0.5        1.5216e+00
outputs_000/output_0456   6205  8.16e+41  1.16e-02  7.56e+16  0.5        2.0296e+00
outputs_000/output_0457  11212  9.01e+41  2.71e-05  4.71e+16  1          6.5593e-03
outputs_000/output_0458   8695  3.83e+41  2.01e-03  1.05e+17  1          2.7614e-02
outputs_000/output_0459   7960  8.79e+41  2.52e-05  5.74e+16  1          3.5914e+00
outputs_000/output_0460  11392  1.73e+41  1.49e-04  8.60e+16  0.5        3.1423e-02
outputs_000/output_0461   6167  7.12e+41  1.10e-03  7.59e+16  0.5        6.8696e-03
outputs_000/output_0462   6626  4.96e+41  6.32e-03  1.59e+17  1          1.4622e+00
outputs_000/output_0463   6544  4.12e+41  1.69e-05  9.70e+16  0.5        1.4433e-02
outputs_000/output_0464   6798  1.51e+41  1.17e-05  1.01e+17  0.5        6.2851e-03
outputs_000/output_0465   9297  7.07e+41  6.29e-04  7.69e+16  0          2.5253e-02
outputs_000/output_0466   8491  5.11e+41  9.04e-03  2.81e+16  0.5        9.8911e-02
outputs_000/output_0468   4075  6.27e+41  4.96e-02  1.14e+17  0.5        2.3048e+00
outputs_000/output_0470  13664  3.69e+41  1.47e-04  1.56e+17  0.5        5.3512e-03
outputs_000/output_0471  13832  3.60e+41  2.15e-04  5.57e+16  0.5        1.5770e-01
outputs_000/output_0472   7267  5.48e+41  6.54e-04  7.70e+16  1          1.4940e+00
outputs_000/output_0473   4791  5.98e+41  4.34e-03  5.68e+16  1          3.7187e-01
outputs_000/output_0474  12096  8.08e+40  1.75e-03  1.82e+17  1          5.0675e-01
outputs_000/output_0475   5769  6.62e+41  7.05e-03  8.06e+16  1          1.0345e+00
outputs_000/output_0476  11349  7.46e+39  8.70e-02  1.20e+17  1          3.8748e+00
outputs_000/output_0477   4490  4.07e+41  5.13e-04  5.47e+16  0.5        1.5424e+00
outputs_000/output_0478  12201  4.67e+41  1.53e-04  2.39e+16  1          7.5257e-02
outputs_000/output_0479  12597  8.30e+41  2.97e-05  1.79e+17  1          1.3606e-01
outputs_000/output_0480   7416  3.19e+41  1.38e-02  1.02e+17  1          5.2218e-02
outputs_000/output_0481   4743  6.57e+41  2.89e-02  5.03e+16  1          1.0632e-02
outputs_000/output_0482   5128  1.68e+41  2.91e-05  1.16e+16  0.5        1.9089e+00
outputs_000/output_0483  13216  6.43e+41  1.44e-04  7.69e+16  1          5.8754e-02
outputs_000/output_0484  12162  1.45e+41  2.14e-04  2.90e+16  1          2.1434e-01
outputs_000/output_0485  10162  1.01e+41  4.53e-03  1.04e+17  0          1.4803e+00
outputs_000/output_0486   5123  8.56e+41  8.94e-04  1.68e+17  1          1.7973e-01
outputs_000/output_0487   6184  1.63e+41  4.92e-03  1.88e+16  0          1.0194e-02
outputs_000/output_0489   5215  4.71e+40  1.27e-02  6.44e+16  0          2.2701e+00
outputs_000/output_0490  11579  2.89e+41  1.54e-05  1.07e+17  0.5        5.4200e-02
outputs_000/output_0492   6451  7.51e+41  1.01e-03  2.75e+16  1          1.8561e-01
outputs_000/output_0493  11633  8.75e+40  8.88e-05  1.44e+17  0.5        7.1271e-03
outputs_000/output_0494   4179  2.28e+41  3.24e-03  6.29e+16  0.5        1.7958e-01
outputs_000/output_0495  10089  3.15e+41  5.33e-04  1.24e+17  0.5        1.8271e+00
outputs_000/output_0496   7951  4.11e+41  3.96e-04  1.17e+16  0.5        4.6042e-02
outputs_000/output_0497   5148  2.85e+41  4.11e-04  1.87e+17  0.5        1.7788e-01
outputs_000/output_0498   6865  8.02e+41  3.96e-05  7.91e+16  1          6.8434e-01
outputs_000/output_0499  11163  3.42e+41  1.16e-03  1.51e+17  0.5        4.3942e-01
outputs_000/output_0500   8736  2.68e+41  6.52e-04  7.70e+16  0          1.9589e+00
outputs_000/output_0501   4345  1.58e+40  1.96e-02  1.09e+17  0          1.8279e-01
outputs_000/output_0502   6437  4.87e+41  2.26e-02  1.81e+16  1          5.3880e-02
outputs_000/output_0503   5286  1.15e+41  1.51e-04  2.69e+16  0          8.0180e-02
outputs_000/output_0504   4097  6.87e+41  3.29e-02  1.79e+17  0.5        2.0167e-01
outputs_000/output_0505  12827  8.18e+41  3.25e-05  1.66e+17  0          1.0101e-01
outputs_000/output_0506  11184  1.64e+41  3.25e-03  2.21e+16  1          1.4369e-02
outputs_000/output_0507   5658  2.33e+41  6.75e-04  1.26e+17  1          2.2239e+00
outputs_000/output_0508   5265  8.96e+40  2.28e-04  3.86e+16  0.5        4.7870e-01
outputs_000/output_0509   5678  7.71e+41  4.41e-03  1.26e+17  1          1.0692e-02
outputs_000/output_0510   9510  7.13e+41  2.96e-02  1.22e+17  1          3.7233e-02
outputs_000/output_0511   4787  4.84e+40  1.32e-04  1.65e+17  1          1.1690e+00
outputs_000/output_0512  13022  1.33e+41  1.96e-05  8.37e+16  1          7.3304e-01
outputs_000/output_0513  12292  8.50e+41  1.12e-05  1.41e+17  0.5        6.5433e-02
outputs_000/output_0514  10962  3.75e+41  6.33e-04  1.61e+17  1          1.7666e+00
outputs_000/output_0515  13523  9.21e+41  1.18e-04  4.13e+16  0          8.7624e-02
outputs_000/output_0516  12901  7.26e+41  8.22e-04  1.25e+17  1          1.5693e-02
outputs_000/output_0517   6083  6.99e+41  1.16e-02  2.01e+16  1          3.5482e-01
outputs_000/output_0518  12096  2.76e+41  9.02e-05  1.44e+17  1          2.9107e-02
outputs_000/output_0519   4948  8.71e+41  2.19e-05  4.48e+16  1          3.9145e-01
outputs_000/output_0520  11151  6.66e+41  7.47e-02  1.88e+17  1          3.7232e+00
outputs_000/output_0521  11958  7.59e+41  4.90e-04  6.14e+16  0          9.3571e-01
outputs_000/output_0522  13334  6.78e+41  2.79e-03  1.87e+17  0.5        7.4190e-02
outputs_000/output_0523   4403  4.61e+41  1.13e-04  1.25e+17  0.5        1.1495e-01
outputs_000/output_0524  10324  2.46e+41  6.68e-04  1.47e+17  0          2.3394e-01
outputs_000/output_0525   6637  7.31e+41  1.24e-04  1.95e+17  0          1.7127e+00
outputs_000/output_0526  10491  3.40e+41  1.04e-03  7.83e+16  1          1.5486e-01
outputs_000/output_0527   6298  8.24e+41  2.73e-04  1.87e+17  0          4.8786e-01
outputs_000/output_0528  12531  5.65e+41  3.97e-02  5.94e+16  1          1.2365e+00
outputs_000/output_0529   6779  5.78e+41  1.17e-03  1.45e+17  1          2.5478e-02
outputs_000/output_0530  11131  1.71e+41  2.76e-03  1.05e+17  1          3.6992e+00
outputs_000/output_0531   4404  1.04e+41  5.05e-04  8.69e+16  1          5.8480e-02
outputs_000/output_0532   7869  7.75e+41  1.53e-03  2.53e+16  1          4.8826e+00
outputs_000/output_0533   7309  1.10e+41  1.95e-04  1.93e+17  0          7.7846e-02
outputs_000/output_0534   7938  8.23e+41  3.03e-04  7.63e+16  1          9.9059e-01
outputs_000/output_0535  11260  7.80e+40  6.41e-02  1.39e+17  1          2.1543e-02
outputs_000/output_0536  13758  9.84e+39  1.77e-02  5.29e+16  0          8.9731e-02
outputs_000/output_0537   5668  7.92e+41  8.89e-02  1.94e+17  0.5        5.5568e-01
outputs_000/output_0538   5103  4.40e+41  8.15e-05  1.96e+17  0.5        3.4300e-01
outputs_000/output_0540   5269  6.73e+41  5.69e-02  1.60e+17  0          1.8845e-01
outputs_000/output_0541   6668  2.11e+41  9.98e-05  3.25e+16  0.5        5.9620e-01
outputs_000/output_0542   7912  7.23e+41  1.80e-05  6.81e+16  1          1.2190e-02
outputs_000/output_0543  11877  3.63e+41  3.08e-02  5.43e+16  0.5        5.7504e-02
outputs_000/output_0544   6775  3.69e+41  2.60e-05  7.83e+16  0.5        3.2792e-02
outputs_000/output_0545   4352  7.51e+41  9.21e-04  6.67e+16  0.5        2.8201e-01
outputs_000/output_0546  12718  5.10e+41  9.50e-05  3.74e+16  0          1.3378e-02
outputs_000/output_0547   5417  5.49e+41  2.23e-03  1.41e+17  0          5.8590e-01
outputs_000/output_0548  12514  9.56e+41  9.79e-04  4.89e+16  0          1.6851e-02
outputs_000/output_0549   7169  5.99e+41  2.73e-05  1.62e+17  0.5        3.9130e-02
outputs_000/output_0550   6550  2.43e+41  1.12e-05  1.22e+17  0.5        4.1349e+00
outputs_000/output_0551   4263  4.22e+41  6.91e-04  4.41e+16  0          3.5007e-01
outputs_000/output_0552  10158  5.55e+41  3.91e-05  1.29e+17  0          5.3648e-02
outputs_000/output_0553  11103  2.62e+41  1.10e-05  1.20e+16  0          3.8068e+00
outputs_000/output_0554   8467  2.07e+41  8.94e-03  9.85e+16  0          1.5709e+00
outputs_000/output_0555  11231  5.21e+41  6.06e-05  1.95e+17  0          4.9264e-01
outputs_000/output_0556  12252  8.34e+41  5.56e-05  1.33e+17  0.5        2.4934e+00
outputs_000/output_0557   9928  6.86e+41  5.93e-05  1.77e+17  0          4.9361e-01
outputs_000/output_0558  12144  3.29e+41  7.47e-03  9.45e+16  0.5        9.6860e-01
outputs_000/output_0559  12076  2.86e+41  4.19e-04  1.47e+17  1          7.8203e-02
outputs_000/output_0560   4382  9.75e+41  3.57e-02  1.19e+17  0.5        1.0063e-01
outputs_000/output_0561   8506  2.87e+41  1.00e-05  3.84e+16  0          2.1520e-01
outputs_000/output_0562  13086  6.75e+41  3.22e-04  1.38e+17  0.5        3.5753e-01
outputs_000/output_0563   8175  3.27e+40  7.36e-04  1.09e+17  1          8.4984e-02
outputs_000/output_0564  13385  8.08e+41  2.19e-04  1.82e+17  1          2.2918e+00
outputs_000/output_0565   9475  4.11e+40  3.69e-04  9.01e+16  0          8.7019e-02
outputs_000/output_0566   7981  4.99e+41  4.14e-02  1.43e+17  0          4.2784e-02
outputs_000/output_0567   4835  6.03e+41  1.27e-02  6.10e+16  0          4.0299e+00
outputs_000/output_0568  11805  1.67e+41  2.36e-02  8.43e+16  0.5        4.5361e-01
outputs_000/output_0569  13590  3.10e+41  2.72e-03  9.15e+16  1          3.3621e-01
outputs_000/output_0570   4371  4.77e+41  1.72e-05  1.85e+17  1          2.4594e-02
outputs_000/output_0571   5836  8.74e+41  3.06e-03  2.33e+16  1          4.2560e-02
outputs_000/output_0572   5213  6.72e+41  6.00e-05  1.39e+17  1          8.6873e-01
outputs_000/output_0573   6821  8.88e+41  4.09e-04  3.59e+16  0.5        1.6459e-02
outputs_000/output_0574   8820  5.68e+41  5.06e-03  1.45e+17  0.5        2.9192e-01
outputs_000/output_0575  13479  4.30e+41  7.58e-02  1.02e+17  0.5        2.8924e+00
outputs_000/output_0576  13364  4.98e+41  1.89e-05  1.97e+17  0.5        2.0894e-01
outputs_000/output_0577   5767  5.68e+41  7.87e-03  1.64e+17  0.5        3.9813e-02
outputs_000/output_0578  12528  1.20e+41  1.83e-03  1.59e+16  0.5        1.7284e+00
outputs_000/output_0579  11800  6.16e+41  1.80e-05  6.55e+16  0.5        2.7613e-02
outputs_000/output_0580   7108  3.60e+41  1.46e-02  2.61e+16  1          1.7865e-02
outputs_000/output_0581  13039  6.58e+41  2.70e-05  1.18e+17  1          2.8021e-02
outputs_000/output_0582   6200  6.84e+41  6.25e-04  1.87e+17  0.5        8.7386e-02
outputs_000/output_0583  10229  5.95e+41  3.74e-04  6.74e+16  1          8.9129e-01
outputs_000/output_0584   6655  1.84e+40  2.39e-04  8.09e+16  1          1.0662e-01
outputs_000/output_0585   5161  8.94e+41  1.60e-02  1.71e+17  0          1.5738e-01
outputs_000/output_0586   5256  7.08e+41  2.84e-04  9.13e+16  0          3.6748e-02
outputs_000/output_0587   4009  5.00e+41  1.31e-02  1.82e+17  1          2.5916e-02
outputs_000/output_0588   7069  9.02e+41  5.11e-02  3.81e+16  1          4.6370e-01
outputs_000/output_0589  12890  8.13e+41  8.62e-02  1.74e+17  0.5        8.4227e-01
outputs_000/output_0590   7959  7.12e+41  2.84e-04  1.23e+17  0          4.6728e-01
outputs_000/output_0591  10196  3.38e+41  2.24e-02  1.49e+17  1          1.4543e-01
outputs_000/output_0592   7288  3.19e+40  3.59e-05  9.93e+16  1          4.9326e+00
outputs_000/output_0593  12540  7.08e+41  1.93e-05  3.28e+16  0          8.5868e-03
outputs_000/output_0594   9915  6.18e+41  1.39e-02  3.00e+16  0.5        1.9195e+00
outputs_000/output_0595  11696  9.55e+40  5.01e-05  1.20e+17  0.5        6.8397e-03
outputs_000/output_0596  10162  4.69e+41  9.28e-03  5.25e+16  0.5        2.3462e-01
outputs_000/output_0597  13657  7.05e+41  5.54e-04  1.59e+17  0.5        1.4902e-01
outputs_000/output_0598   7668  9.86e+41  1.75e-05  1.51e+17  1          1.2297e+00
outputs_000/output_0599   5315  6.48e+40  2.19e-02  1.58e+17  1          8.4900e-03
outputs_000/output_0600  11569  4.15e+41  5.04e-05  8.75e+16  0.5        1.0753e-02
outputs_000/output_0601   8318  6.31e+41  2.61e-05  3.46e+16  1          5.7645e-02
outputs_000/output_0602   5186  7.35e+41  1.06e-05  1.09e+17  0.5        2.2910e+00
outputs_000/output_0603  12463  7.28e+41  6.16e-03  8.41e+16  1          1.0031e-02
outputs_000/output_0604   6825  4.69e+41  3.56e-04  9.86e+16  0.5        3.3166e-02
outputs_000/output_0605  13116  4.03e+41  2.09e-04  1.11e+17  0.5        6.3066e-03
outputs_000/output_0606  13471  4.06e+41  7.12e-04  3.89e+16  1          3.9523e+00
outputs_000/output_0607  11116  2.91e+41  1.06e-05  7.84e+16  0.5        4.6119e-01
outputs_000/output_0608  10757  1.12e+41  1.42e-02  1.13e+17  0          1.8298e-02
outputs_000/output_0609   9129  2.07e+41  3.27e-02  1.58e+17  0          1.0170e+00
outputs_000/output_0610   5903  7.19e+41  8.50e-03  2.87e+16  1          2.6731e-01
outputs_000/output_0611  12288  6.88e+40  2.64e-04  1.11e+16  0          1.5690e+00
outputs_000/output_0612   9506  5.63e+41  1.99e-03  1.76e+17  0.5        8.8964e-03
outputs_000/output_0613  12275  7.82e+41  4.52e-05  1.39e+17  0          1.9460e-01
outputs_000/output_0614  10703  7.96e+41  1.97e-05  4.37e+16  1          4.9123e+00
outputs_000/output_0615  10388  4.99e+41  1.99e-05  5.92e+16  0.5        8.9353e-02
outputs_000/output_0616   7873  5.74e+39  1.98e-04  1.31e+17  1          1.1559e-01
outputs_000/output_0617   9296  4.74e+41  5.67e-05  1.51e+17  0          2.0640e-02
outputs_000/output_0618  11587  7.85e+41  2.91e-05  1.40e+17  0.5        6.4028e-02
outputs_000/output_0619  10637  7.43e+41  8.54e-03  7.32e+16  0.5        3.0527e-01
outputs_000/output_0620   5479  6.80e+41  2.21e-02  1.25e+17  0.5        7.5484e-01
outputs_000/output_0621  13173  2.54e+41  6.46e-02  5.61e+16  0.5        6.4021e-03
outputs_000/output_0622   8879  7.43e+41  1.95e-04  1.53e+17  0          1.7345e+00
outputs_000/output_0623   6748  7.51e+41  2.40e-02  1.07e+17  1          2.2367e-01
outputs_000/output_0624   7559  5.65e+41  3.05e-03  6.67e+16  1          6.3605e-01
outputs_000/output_0625   6693  6.57e+41  2.98e-03  1.18e+17  1          1.1363e+00
outputs_000/output_0626  10024  7.52e+41  1.56e-04  5.19e+16  1          1.4548e+00
outputs_000/output_0627  12569  6.53e+41  2.38e-04  3.99e+16  1          3.6149e-02
